"Theta [deg]","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='90deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='90deg'"
-180,-39.8657295876603,-39.8657295876601,-7.7265678011547,-7.72656780115469
-179,-39.8448581184638,-40.244960304273,-7.75338436646946,-7.74916360097874
-178,-39.4796236824609,-41.0597564166356,-7.82006217558023,-7.81146046227427
-177,-38.7585706013099,-42.3411927215472,-7.92692961131112,-7.91371134721172
-176,-37.7321125614591,-43.9597660137038,-8.0744991787282,-8.05634290809704
-175,-36.4972824427472,-45.0376186599336,-8.26348041676751,-8.23996505216824
-174,-35.1578982866759,-43.9151335868546,-8.49479808723436,-8.4653850488392
-173,-33.7959463910391,-41.1061509468254,-8.76961661760807,-8.7336268795203
-172,-32.4648101717535,-38.1816765562981,-9.08937216971409,-9.04595682615837
-171,-31.1946583124037,-35.6278624503433,-9.45581423520465,-9.40391667726949
-170,-30.0002463533552,-33.4553354452742,-9.87105938332252,-9.80936643826272
-169,-28.8871371786877,-31.5968019778898,-10.3376607989395,-10.264539121016
-168,-27.8557814434791,-29.9897379960524,-10.8586986880909,-10.7721111340726
-167,-26.9039652976965,-28.5863543549183,-11.4378987049543,-11.3352931110367
-166,-26.0282105309785,-27.3512242990521,-12.0797885906722,-11.9579478582559
-165,-25.2245501081366,-26.2579043868729,-12.7899077021977,-12.6447446885673
-164,-24.4889436161363,-25.2863186119169,-13.5750907851449,-13.4013630045363
-163,-23.8174884044412,-24.4209316799939,-14.4438572537405,-14.2347628608913
-162,-23.2065157649217,-23.6494957991826,-15.406951642245,-15.1535463525237
-161,-22.6526227715223,-22.9621838422959,-16.4781004244521,-16.1684398301131
-160,-22.1526682257441,-22.3509789388846,-17.6750713138994,-17.2929277802532
-159,-21.7037485013705,-21.8092349404036,-19.0211202473085,-18.5440456810516
-158,-21.3031618294242,-21.3313517857649,-20.5467861791718,-19.9432271039984
-157,-20.948365366949,-20.9125287034946,-22.2913194664258,-21.5166832353652
-156,-20.6369269334583,-20.5485701690298,-24.3000193421651,-23.2933249589389
-155,-20.3664718446589,-20.2357271541983,-26.6008286632004,-25.293142422486
-154,-20.1346244293077,-19.9705610922424,-29.0930468958653,-27.4823028575597
-153,-19.9389433896926,-19.7498211678872,-31.1884059759079,-29.6338132071589
-152,-19.7768501014001,-19.5703277064364,-31.6682354701424,-31.1005173548906
-151,-19.6455492883116,-19.4288560693315,-30.4412675142384,-31.1649650893578
-150,-19.5419423875279,-19.3220169816234,-28.7240104909511,-30.1201029165518
-149,-19.4625355467455,-19.2461310391095,-27.1762863762929,-28.7747686920836
-148,-19.4033468309742,-19.1970977432989,-25.9253486824571,-27.5480468776112
-147,-19.3598210816317,-19.1702633232846,-24.9496862072351,-26.5456065071346
-146,-19.3267659948374,-19.1602973325545,-24.2056310270366,-25.7661238018721
-145,-19.2983289048975,-19.1610957948591,-23.6546935710788,-25.1833718757909
-144,-19.268039129577,-19.1657380038619,-23.2670074522545,-24.7694568246736
-143,-19.228942982912,-19.1665329639154,-23.0199100762869,-24.4998301347286
-142,-19.1738539620334,-19.1551956953885,-22.8959177324697,-24.3531838648238
-141,-19.0957253538932,-19.1231868151327,-22.8808898353035,-24.3099416383652
-140,-18.9881251405961,-19.0622242652822,-22.9623756540143,-24.3503136115808
-139,-18.845757772493,-18.9649315894167,-23.1279582016975,-24.452148408832
-138,-18.6649456514604,-18.825531223984,-23.3633811783513,-24.5887611367842
-137,-18.4439710052135,-18.6404457181486,-23.650287903797,-24.7272306115807
-136,-18.1831981981501,-18.4086623752328,-23.9635837782829,-24.8282392632182
-135,-17.884945807248,-18.1317634191829,-24.2689232022644,-24.849020666525
-134,-17.5531393888728,-17.813612354696,-24.5217751163154,-24.7504504654229
-133,-17.1928250177034,-17.4597799101435,-24.6706355748701,-24.5068305977207
-132,-16.8096428601573,-17.0768493440724,-24.666699584192,-24.1135930887781
-131,-16.4093477332362,-16.6717431258901,-24.4784382252169,-23.5878580385263
-130,-15.9974318064763,-16.2511725669647,-24.1033183383081,-22.9613867217289
-129,-15.5788693065638,-15.8212559485976,-23.5679669095083,-22.2705621790505
-128,-15.1579757689889,-15.3873029625067,-22.9166075406836,-21.5485012536099
-127,-14.7383591753794,-14.9537348645676,-22.196325453997,-20.8212534572239
-126,-14.3229357521443,-14.5240999823394,-21.4470725672056,-20.1072715631682
-125,-13.9139854682403,-14.1011468260843,-20.698140060584,-19.4185460339999
-124,-13.5132276352295,-13.6869253435181,-19.9688316672579,-18.762201546567
-123,-13.1219029164286,-13.2828961665285,-19.2707290662124,-18.1419602245365
-122,-12.7408531575183,-12.8900356485866,-18.6100367756359,-17.5592813364624
-121,-12.3705943030222,-12.5089303347762,-17.9894510120518,-17.0141780143315
-120,-12.0113802946732,-12.1398583565092,-17.4094844651548,-16.5057750459429
-119,-11.6632574941428,-11.7828575402454,-16.8693483623004,-16.0326784664075
-118,-11.3261101074892,-11.43778123959,-16.3675184160081,-15.5932152471892
-117,-10.9996975498854,-11.1043434355676,-15.9020890438735,-15.1855859176984
-116,-10.6836848568572,-10.7821547838987,-15.4709905699041,-14.8079598500419
-115,-10.3776672474518,-10.4707512079419,-15.0721194751028,-14.4585332191418
-114,-10.0811898567029,-10.1696164570038,-14.7034141452857,-14.1355628824201
-113,-9.79376352927877,-9.87819983857536,-14.3628967801296,-13.8373848620622
-112,-9.51487743198693,-9.59593012525898,-14.0486945038794,-13.5624230922498
-111,-9.24400911510383,-9.32222644955113,-13.7590478673621,-13.3091921112779
-110,-8.98063253841397,-9.05650683843411,-13.4923118681281,-13.0762960827136
-109,-8.72422447974906,-8.79819490542092,-13.2469526871687,-12.8624256840354
-108,-8.47426966157435,-8.54672510807122,-13.0215421269895,-12.6663538492467
-107,-8.23026486337904,-8.30154689075392,-12.8147509715493,-12.4869309916236
-106,-7.99172223241063,-8.06212796208398,-12.6253420070986,-12.3230800975285
-105,-7.75817196069671,-7.82795690075102,-12.4521631398581,-12.1737919288313
-104,-7.52916446049348,-7.59854523954996,-12.2941408561959,-12.0381204717325
-103,-7.30427214168418,-7.37342914293582,-12.1502741522106,-11.9151787052726
-102,-7.08309087185872,-7.15217076641019,-12.0196289863066,-11.8041347214735
-101,-6.86524118170889,-6.9343593649412,-11.9013332638941,-11.7042082029571
-100,-6.65036926405091,-6.71961220117746,-11.7945723371974,-11.6146672478002
-99,-6.43814780349696,-6.50757529145994,-11.6985849885715,-11.5348255218612
-98,-6.22827666494418,-6.29792401779334,-11.6126598583879,-11.4640397135562
-97,-6.02048346216198,-6.09036362641041,-11.5361322756841,-11.4017072635693
-96,-5.81452402245908,-5.88462962787508,-11.4683814496129,-11.3472643412443
-95,-5.61018275939962,-5.68048810945587,-11.4088279811404,-11.3001840397675
-94,-5.4072729625778,-5.47773596746922,-11.3569316567232,-11.2599747632824
-93,-5.20563701135505,-5.27620106521084,-11.312189488383,-11.2261787804936
-92,-5.00514651806295,-5.07574232078074,-11.2741339674402,-11.1983709209468
-91,-4.80570240534723,-4.87624972841247,-11.2423315019777,-11.1761573918955
-90,-4.60723492197057,-4.6776443167203,-11.216381010821,-11.1591746954219
-89,-4.40970360141514,-4.47987804747626,-11.1959126493659,-11.1470886272254
-88,-4.21309716795547,-4.28293365904025,-11.1805866449647,-11.139593340214
-87,-4.01743339544524,-4.08682445931811,-11.1700922217818,-11.1364104577097
-86,-3.82275892482328,-3.89159407405576,-11.164146597058,-11.1372882227238
-85,-3.62914904724941,-3.69731615734269,-11.1624940326012,-11.1420006713536
-84,-3.43670746079255,-3.5040940723534,-11.1649049270524,-11.1503468199126
-83,-3.24556600968058,-3.31206055157028,-11.1711749360859,-11.1621498569319
-82,-3.05588441626341,-3.12137734698101,-11.1811241092045,-11.1772563326517
-81,-2.86785001702307,-2.93223488201557,-11.1945960331953,-11.1955353400781
-80,-2.68167751518164,-2.74485191827475,-11.2114569736424,-11.2168776830864
-79,-2.4976087637152,-2.55947525141093,-11.2315950071596,-11.241195028428
-78,-2.3159125938914,-2.37637945186572,-11.2549191382236,-11.2684190398225
-77,-2.13688470583556,-2.19586666757464,-11.2813583956761,-11.2985004935997
-76,-1.96084763913116,-2.01826650725481,-11.3108609051363,-11.3314083765855
-75,-1.78815084312362,-1.84393602454663,-11.3433929347381,-11.3671289680967
-74,-1.61917086848474,-1.6732598251529,-11.3789379128071,-11.4056649090327
-73,-1.45431170379023,-1.50665032128858,-11.417495417333,-11.4470342621019
-72,-1.29400528346271,-1.34454816032609,-11.4590801384066,-11.4912695682215
-71,-1.13871219656321,-1.18742285761953,-11.5037208161924,-11.5384169050608
-70,-0.988922629727886,-1.03577366727337,-11.5514591585378,-11.5885349545716
-69,-0.845157582234897,-0.890130729280178,-11.6023487439912,-11.6416940871679
-68,-0.707970396988342,-0.751056537229369,-11.6564539178592,-11.6979754709777
-67,-0.577948658422235,-0.619147777988139,-11.7138486909869,-11.7574702152993
-66,-0.455716517340741,-0.4950376037626,-11.7746156532346,-11.8202785580594
-65,-0.341937514011221,-0.379398408254733,-11.8388449161548,-11.8865091076888
-64,-0.237317985049504,-0.272945192879064,-11.9066331021656,-11.9562781504063
-63,-0.142611157611576,-0.176439627026168,-11.9780824005514,-12.0297090344346
-62,-0.0586220572268997,-0.0906949292601625,-12.0532997139007,-12.1069316431598
-61,0.0137866152657154,-0.0165817255814901,-12.1323959220451,-12.1880819696727
-60,0.07368744482881,0.0449649215519687,-12.2154852941456,-12.2733018055008
-59,0.120079860215181,0.0929370711911529,-12.3026850831625,-12.3627385566184
-58,0.151879984767283,0.12624374335307,-12.3941153404094,-12.4565451999973
-57,0.167908393409758,0.143698651441404,-12.4898989910444,-12.5548803940002
-56,0.16687527990532,0.144005329111649,-12.5901622139642,-12.6579087557884
-55,0.147362392268595,0.125739005922868,-12.6950351713806,-12.7658013185686
-54,0.107800896664091,0.0873243871681757,-12.8046531340593,-12.8787361809132
-53,0.0464440599562728,0.0270082211129812,-12.9191580474887,-12.9968993594893
-52,-0.0386667330550824,-0.0571748402165266,-13.0387005817886,-13.1204858552997
-51,-0.149744637032493,-0.16744511031934,-13.1634427036903,-13.2497009419259
-50,-0.289311436382638,-0.306332246863823,-13.2935608022145,-13.3847616822517
-49,-0.460266912202703,-0.476745014955902,-13.42924939064,-13.525898677716
-48,-0.665978932064373,-0.68206192929784,-13.5707253960828,-13.6733580513224
-47,-0.910402122389311,-0.926250710135201,-13.7182330347911,-13.8274036624425
-46,-1.19823670103997,-1.21402825104889,-13.8720492566734,-13.9883195479816
-45,-1.53514492011945,-1.55107874723437,-14.032489727485,-14.1564125808141
-44,-1.92805210977559,-1.94435731361053,-14.199915302676,-14.3320153327108
-43,-2.38557531869748,-2.4025226874183,-14.3747389346049,-14.5154891254272
-42,-2.91865039690898,-2.93657096747349,-14.557432946343,-14.7072272504213
-41,-3.54147892389247,-3.56079394332573,-14.7485366024519,-14.9076583350444
-40,-4.27301282879173,-4.2942842968127,-14.9486639117755,-15.1172498312245
-39,-5.1393896847344,-5.16341049174384,-15.158511611188,-15.3365116018495
-38,-6.17815561731866,-6.20612210918861,-15.3788673039312,-15.5659995804317
-37,-7.44611865302438,-7.47999295842671,-15.6106177629031,-15.8063194812848
-36,-9.03534479134261,-9.07871645347307,-15.8547574589863,-16.0581305403731
-35,-11.1100231019987,-11.1705550283637,-16.112397438006,-16.3221492710476
-34,-14.0079620778771,-14.1065262406736,-16.3847747479802,-16.599153223747
-33,-18.6084393865634,-18.8351730887701,-16.6732627121774,-16.8899847438557
-32,-27.9086939436932,-29.5183091541704,-16.9793824552975,-17.1955547264371
-31,-22.7527400781368,-23.0024191100286,-17.3048162236567,-17.5168463692959
-30,-15.7143072534149,-15.7290518355969,-17.651423202121,-17.8549189250604
-29,-11.6703287860076,-11.663363176609,-18.0212587311811,-18.2109114463702
-28,-8.83453286355017,-8.8246773655696,-18.4165980833668,-18.5860465024931
-27,-6.64542484550221,-6.6361125470665,-18.8399662940957,-18.9816338161256
-26,-4.8608783871342,-4.85285761449978,-19.2941759956475,-19.399073719073
-25,-3.35503221836482,-3.34840740135084,-19.7823758310583,-19.8398602452685
-24,-2.05425099471786,-2.04895298861542,-20.3081129137959,-20.30558355492
-23,-0.911803349530728,-0.907719916268268,-20.8754140825632,-20.7979311933174
-22,0.103780951775448,0.106766088662137,-21.4888925881138,-21.3186874003555
-21,1.01467294290387,1.01666898926416,-22.1538896764329,-21.8697292546041
-20,1.83705464843532,1.83816170395884,-22.8766648496891,-22.4530177872586
-19,2.583076720428,2.58338663731174,-23.66465531224,-23.0705812290519
-18,3.26207634364578,3.26167434968968,-24.526835814343,-23.7244860966486
-17,3.88136709388736,3.8803334462883,-25.4742275281513,-24.4167896476164
-16,4.44676928393598,4.44518072378603,-26.5206335684567,-25.1494639949106
-15,4.96297667844131,4.96090763950658,-27.6837278726055,-25.924277407714
-14,5.4338165160351,5.43134010527963,-28.9867080371589,-26.7426114580517
-13,5.86243791441324,5.85962670021721,-30.4608628228068,-27.6051831413259
-12,6.25145096259356,6.24837760827054,-32.1496106403799,-28.5116287998258
-11,6.6030310812826,6.599768857518,-34.1146816928808,-29.4598931386693
-10,6.91899841769372,6.91562162225383,-36.443817035096,-30.4453577153773
-9,7.20087895771938,7.19746326581899,-39.2472739385711,-31.459654603787
-8,7.44995201521549,7.44657477978704,-42.5425914907771,-32.489176059917
-7,7.66728740118847,7.66402791904327,-45.487816394102,-33.5134668373745
-6,7.85377464685794,7.85071440430214,-45.5574116076703,-34.5040305578719
-5,8.01014600650669,8.00736891626727,-43.3939680897697,-35.4245521828525
-4,8.13699450531854,8.13458714555362,-41.29782570583,-36.2337808238324
-3,8.23478796355728,8.23283982920194,-39.750068167499,-36.8915837207807
-2,8.30387968144844,8.30248345814297,-38.6926483349778,-37.3665401716264
