"Theta [deg]","dB(AxialRatioValue) [] - Freq='28GHz' Phi='0deg'","dB(AxialRatioValue) [] - Freq='28GHz' Phi='90deg'"
-180,0.429511401436148,0.429511401436158
-179,0.431876999747245,0.41222656306129
-178,0.453905081916553,0.378005432649045
-177,0.499323299895848,0.330006482816424
-176,0.571637020135491,0.278426348953069
-175,0.673552968671545,0.251183950763967
-174,0.807238240815681,0.293358148485693
-173,0.974952493791238,0.418120973100425
-172,1.1796120157073,0.607064798477285
-171,1.42519714070333,0.849166257492861
-170,1.71710210442836,1.14333182820908
-169,2.0625501546123,1.49382521371764
-168,2.47118842808128,1.90855828168138
-167,2.95600059821802,2.39905355428558
-166,3.53475771450048,2.9813660250103
-165,4.23241490726718,3.67797262764503
-164,5.08527734547331,4.52116177088532
-163,6.14875010840868,5.55925956083349
-162,7.51313302038608,6.86893407883261
-161,9.34017788441268,8.58236449748711
-160,11.9654099873333,10.9579335358334
-159,16.294338461892,14.6201711331915
-158,27.227621666652,21.9667758180388
-157,22.2529417930155,29.1774261876056
-156,13.647345462652,16.0986758311328
-155,9.26313316292887,10.958966225475
-154,6.47774092901879,7.80098836416476
-153,4.88200627199274,5.77058405461212
-152,4.51766324822628,4.71885371919104
-151,5.15904982687828,4.60298219833348
-150,6.29804492656771,5.15755958919711
-149,7.59755138477172,6.03095076232838
-148,8.90445535476883,6.99735824848818
-147,10.1416042534694,7.94222419196613
-146,11.2547694841446,8.80342475745731
-145,12.1938522339123,9.54019056352715
-144,12.9094840120363,10.1215228691723
-143,13.3582548764917,10.5240185319557
-142,13.5127186603406,10.7341214539261
-141,13.3711474509668,10.7518385600059
-140,12.9614931597562,10.5935450055941
-139,12.337023110885,10.2921757169048
-138,11.5660710631502,9.89429476746168
-137,10.7210130539938,9.45473494876081
-136,9.87028397412934,9.03000612229007
-135,9.07419651838096,8.6714514829314
-134,8.38309914691266,8.41887809797224
-133,7.83582544250419,8.29570154505677
-132,7.45722423787861,8.3071219083438
-131,7.25541035898545,8.4423024940344
-130,7.22107277773071,8.67971564350806
-129,7.33075034241905,8.99332265782496
-128,7.55325409114622,9.35745266660417
-127,7.85629017857682,9.74958027760515
-126,8.21092478740141,10.1513270062414
-125,8.59346779936172,10.5483928730125
-124,8.9855772531982,10.9300146949851
-123,9.37353220678999,11.2883087774978
-122,9.74729379457689,11.6176648986865
-121,10.0996443327058,11.9142471510472
-120,10.4254958118667,12.1756043234516
-119,10.7213684889511,12.4003725596387
-118,10.9850092179833,12.5880488333488
-117,11.2151145277547,12.738815996716
-116,11.4111283035244,12.8534043177911
-115,11.5730909366629,12.9329786095609
-114,11.7015232766232,12.9790435648617
-113,11.7973339133206,12.9933625833095
-112,11.8617422163772,12.9778872612424
-111,11.8962123591241,12.934695946062
-110,11.9023954899045,12.8659404830102
-109,11.8820784867134,12.7738006480568
-108,11.8371385142584,12.6604458883066
-107,11.7695030338463,12.5280039798712
-106,11.68111510748,12.3785361360381
-105,11.5739038759476,12.2140180060165
-104,11.4497600433622,12.0363259269991
-103,11.3105161159719,11.8472277447978
-102,11.1579310536319,11.6483775050451
-101,10.9936789176884,11.4413133351657
-100,10.8193410487307,11.227457880628
-99,10.6364012842304,11.0081207197214
-98,10.446243727448,10.784502251832
-97,10.2501526006379,10.5576986285753
-96,10.0493137520339,10.3287073702964
-95,9.84481743194983,10.0984333789368
-94,9.63766200383566,9.86769511998152
-93,9.42875830749312,9.63723080007341
-92,9.21893444107803,9.40770441264175
-91,9.00894077412658,9.17971156181573
-90,8.79945504454509,8.95378500559453
-89,8.59108742781218,8.73039988353068
-88,8.38438549651682,8.5099786129269
-87,8.17983901306075,8.29289545162156
-86,7.9778845183352,8.07948073566227
-85,7.77890969499118,7.8700248072845
-84,7.58325749614059,7.66478165326872
-83,7.3912300395283,7.46397227650835
